time_period,region,roadmap_group,roadmap_invoice_qty,roadmap_invoice_qty_pct_change,roadmap_invoice_qty_pct_change_roll_mean,roadmap_invoice_qty_pct_change_realised_volatility,roadmap_invoice_qty_pct_change_ngtv_realised_volatility,h.01,h.02,h.03,h.04,h.05,h.06,h.07,h.08,h.09,h.10,h.11,h.12
2018-11-01,AAP,MiniPC-REVO,0.0,0.0,296.2842522974102,296.2842522974102,-296.2842522974102,361555.8962026553,361555.8962186269,361555.89622669393,361555.8962307685,361555.8962328265,361555.896233866,361555.896234391,361555.8962346562,361555.89623479015,361555.89623485785,361555.896234892,361555.8962349093
2018-12-01,AAP,MiniPC-REVO,201.0,1400.0,334.3434160112926,1065.6565839887073,-1065.6565839887073,354380.52344141767,354380.5234467854,354380.52344949485,354380.5234508625,354380.52345155284,354380.5234519013,354380.5234520772,354380.523452166,354380.5234522108,354380.5234522334,354380.5234522448,354380.52345225064
2019-01-01,AAP,MiniPC-REVO,0.0,-100.0,319.86530214424954,419.86530214424954,-419.86530214424954,344608.7575672866,344608.75756807165,344608.75756846747,344608.75756866706,344608.75756876764,344608.7575688184,344608.757568844,344608.75756885693,344608.75756886345,344608.7575688667,344608.75756886834,344608.75756886916
2019-02-01,AAP,MiniPC-REVO,0.0,0.0,309.5470665912092,309.5470665912092,-309.5470665912092,374278.78164932784,374278.7816526025,374278.7816542564,374278.78165509173,374278.7816555136,374278.7816557267,374278.78165583435,374278.78165588866,374278.78165591613,374278.78165593,374278.78165593697,374278.7816559405
2019-03-01,AAP,MiniPC-REVO,0.0,0.0,299.87372076023394,299.87372076023394,-299.87372076023394,367744.781031467,367744.7810327859,367744.78103345167,367744.78103378776,367744.7810339574,367744.781034043,367744.78103408625,367744.781034108,367744.7810341191,367744.7810341246,367744.7810341274,367744.78103412886
2019-04-01,AAP,MiniPC-REVO,0.0,0.0,290.7866383129541,290.7866383129541,-290.7866383129541,358768.0577152207,358768.0577156369,358768.0577158468,358768.05771595263,358768.057716006,358768.05771603296,358768.0577160465,358768.0577160533,358768.0577160568,358768.05771605857,358768.05771605944,358768.05771605985
2019-05-01,AAP,MiniPC-REVO,100.0,1400.0,323.4105607155143,1076.5894392844857,-1076.5894392844857,350167.63970601984,350167.63970611244,350167.6397061591,350167.63970618264,350167.6397061945,350167.63970620045,350167.6397062035,350167.639706205,350167.63970620575,350167.63970620616,350167.63970620633,350167.6397062064
2019-06-01,AAP,MiniPC-REVO,0.0,0.0,314.1702589807853,314.1702589807853,-314.1702589807853,341926.0557824846,341926.05578247376,341926.0557824683,341926.0557824655,341926.0557824641,341926.0557824634,341926.05578246305,341926.0557824629,341926.0557824628,341926.05578246276,341926.0557824627,341926.0557824627
2019-07-01,AAP,MiniPC-REVO,0.0,0.0,305.44330734243016,305.44330734243016,-305.44330734243016,367776.833731759,367776.8337318419,367776.8337318837,367776.83373190474,367776.83373191534,367776.8337319207,367776.83373192337,367776.8337319247,367776.8337319254,367776.83373192576,367776.83373192593,367776.83373192605
2019-08-01,AAP,MiniPC-REVO,0.0,0.0,297.18808281966176,297.18808281966176,-297.18808281966176,359928.4416847121,359928.4416847578,359928.4416847809,359928.44168479246,359928.4416847983,359928.44168480125,359928.44168480276,359928.44168480346,359928.4416848038,359928.44168480404,359928.44168480416,359928.44168480416
