time_period,region,roadmap_group,roadmap_invoice_qty,roadmap_invoice_qty_pct_change,h.01,h.02,h.03,h.04,h.05,h.06,h.07,h.08,h.09,h.10,h.11,h.12
2018-09-01,EMEA,NITRO,2440.0,-10.29411764705882,30414.190783626786,30413.464534333638,30413.097628345386,30412.912264992214,30412.818618189493,30412.771307199968,30412.747405372415,30412.735330009666,30412.729229455843,30412.72614741535,30412.724590347927,30412.72380370708
2018-10-01,EMEA,NITRO,1359.0,-44.30327868852459,26700.601955979375,26699.87842100024,26699.517709942265,26699.337881086576,26699.24822922639,26699.20353419675,26699.18125194103,26699.170143347437,26699.164605270267,26699.161844317816,26699.160467872847,26699.159781660106
2018-11-01,EMEA,NITRO,1463.0,7.652685798381165,21097.553156471648,21080.964831660505,21070.017235378687,21062.792282545044,21058.024117725607,21054.87732960549,21052.800581873835,21051.430015767604,21050.52549981561,21049.92855735242,21049.5346004481,21049.274605470306
2018-12-01,EMEA,NITRO,3720.0,154.27204374572793,19155.90906058378,19144.943189951897,19137.759287717498,19133.05300829419,19129.96985581139,19127.950037526665,19126.6268250271,19125.759969165734,19125.192079212586,19124.820046198492,19124.576321929722,19124.416654596615
2019-01-01,EMEA,NITRO,3360.0,-9.677419354838712,16945.494042747432,16938.536460380245,16934.027046383082,16931.104362392492,16929.21008484019,16927.98234778182,16927.186615243754,16926.670877555604,16926.336612774096,16926.11996592682,16925.97955072597,16925.88854349979
2019-02-01,EMEA,NITRO,1780.0,-47.023809523809526,16552.09501416388,16547.61732470726,16544.705949833387,16542.812986121113,16541.582189067754,16540.781929994253,16540.261604906555,16539.923291720428,16539.703321908062,16539.560298460157,16539.467305215177,16539.406841397955
2019-03-01,EMEA,NITRO,3582.0,101.23595505617979,15209.901444832463,15207.056390302552,15205.215787947589,15204.025013924287,15203.254645044368,15202.756256433653,15202.433824915759,15202.2252284882,15202.09027744534,15202.002971137263,15201.946488495343,15201.909947162783
2019-04-01,EMEA,NITRO,1682.0,-53.04299274148521,14459.525917757515,14457.683603997451,14456.492661002643,14455.722789307805,14455.225114415643,14454.903398082977,14454.695428180668,14454.560988378038,14454.474081280758,14454.417901165867,14454.381584162908,14454.358107445096
2019-05-01,EMEA,NITRO,1640.0,-2.4970273483947647,13649.025049282289,13647.855492756995,13647.10082699551,13646.613872838749,13646.299661749696,13646.096914515458,13645.966090230691,13645.881674807966,13645.82720507701,13645.792058044693,13645.7693791392,13645.754745392891
2019-06-01,EMEA,NITRO,2799.0,70.67073170731707,13181.200563090446,13180.435182051959,13179.940973390076,13179.621861484768,13179.415810041392,13179.282762052237,13179.19685259619,13179.141380621862,13179.105562214005,13179.082434168587,13179.06750032544,13179.057857501452
2019-07-01,EMEA,NITRO,1203.0,-57.0203644158628,12341.755412383165,12341.27180929073,12340.960525256232,12340.760158981391,12340.631187882187,12340.54817219283,12340.494736929257,12340.460341896036,12340.438202615136,12340.423952076238,12340.414779336628,12340.40887505802
2019-08-01,EMEA,NITRO,2123.0,76.47547797173732,11653.102079151691,11652.797252465365,11652.601449073989,11652.475676069873,11652.394886618507,11652.342992052596,11652.309657923877,11652.288245968348,11652.274492141347,11652.265657462194,11652.259982564892,11652.256337332412
2019-09-01,EMEA,NITRO,1260.0,-40.65002355157795,11374.44246071895,11374.24172675523,11374.112627016644,11374.02959800554,11373.9761988526,11373.941855801942,11373.919768464155,11373.905563247052,11373.896427325155,11373.89055166213,11373.886772797076,11373.884342463505
2019-10-01,EMEA,NITRO,341.0,-72.93650793650795,10859.974143212647,10859.846474492471,10859.764452153582,10859.711755893546,10859.677900533417,10859.656149741073,10859.642175677116,10859.633197867926,10859.627429964035,10859.623724303266,10859.621343555948,10859.619814015561
2019-11-01,EMEA,NITRO,1140.0,234.3108504398827,10509.20435036453,10509.121383978072,10509.068083922091,10509.033842392615,10509.011844623206,10508.997712606724,10508.988633782132,10508.98280127719,10508.979054303829,10508.976647137524,10508.975100702826,10508.974107227523
2019-12-01,EMEA,NITRO,1520.0,33.33333333333333,10418.385581932329,10418.329786819824,10418.293865133564,10418.270738241517,10418.255848819794,10418.246262798515,10418.240091181804,10418.236117807268,10418.233559692282,10418.231912741503,10418.23085241119,10418.230169755469
2020-01-01,EMEA,NITRO,400.0,-73.6842105263158,12005.45392632391,12005.409354091771,12005.380134462814,12005.360979336956,12005.348422064337,12005.34019005914,12005.334793512324,12005.331255769474,12005.328936578164,12005.327416216576,12005.32641953323,12005.325766150707
2020-02-01,EMEA,NITRO,640.0,60.00000000000001,11437.316444596307,11437.28744250483,11437.268470507453,11437.256059792704,11437.247941204158,11437.242630351295,11437.23915620576,11437.23688356001,11437.23539688691,11437.234424365388,11437.23378818107,11437.233372014973
2020-03-01,EMEA,NITRO,2064.0,222.5,11377.026882931592,11377.0071089792,11376.994150359209,11376.985658084688,11376.980092775528,11376.976445617634,11376.974055496921,11376.972489160285,11376.97146268056,11376.970789989515,11376.970349149593,11376.970060250494
2020-04-01,EMEA,NITRO,502.0,-75.67829457364341,10931.83636576705,10931.823454812578,10931.815005133525,10931.809475172415,10931.805856044437,10931.803487476725,10931.801937348344,10931.800922854229,10931.800258910313,10931.799824386822,10931.799540009393,10931.799353896275
2020-05-01,EMEA,NITRO,1360.0,170.91633466135457,11976.330545348701,11976.320820235285,11976.314386337683,11976.310129828107,11976.307313825293,11976.305450826581,11976.304218312118,11976.30340291064,11976.302863460929,11976.302506574171,11976.302270466605,11976.302114263604
2020-06-01,EMEA,NITRO,7253.0,433.30882352941177,11962.661682177883,11962.654990531551,11962.650555701839,11962.647616557479,11962.645668665422,11962.644377717106,11962.643522152472,11962.642955134539,11962.642579348396,11962.642330299435,11962.64216524443,11962.642055855677
2020-07-01,EMEA,NITRO,10498.0,44.74010754170688,12222.382756168263,12222.378081166053,12222.374971487781,12222.372903018397,12222.371527131498,12222.370611930734,12222.37000316526,12222.369598231813,12222.369328881621,12222.369149717548,12222.369030542712,12222.368951271004
2020-08-01,EMEA,NITRO,9740.0,-7.22042293770242,10710.607353117386,19922.6614080337,29134.715462950015,38346.76951786633,47558.82357278263,56770.877627698945,65982.93168261525,75194.98573753155,84407.03979244786,93619.09384736417,102831.1479022805,112043.20195719683
2020-09-01,EMEA,NITRO,10240.0,5.133470225872694,16861.7792018078,16861.777768392843,16861.77678920533,16861.77612030748,16861.775663373206,16861.775351234468,16861.775138007757,16861.774992349357,16861.774892847894,16861.77482487693,16861.774778444935,16861.774746726536
2020-10-01,EMEA,NITRO,4142.0,-59.55078124999999,16374.466706700385,16374.465550935898,16374.464762284875,16374.464224138528,16374.463856927325,16374.463606355956,16374.463435375303,16374.463318704416,16374.46323909251,16374.463184768285,16374.463147699438,16374.463122405024
2020-11-01,EMEA,NITRO,4880.0,17.817479478512798,15872.329921424529,15872.329014450454,15872.328396335273,15872.327975081364,15872.32768799109,15872.32749233516,15872.32735899298,15872.327268118468,15872.327206186252,15872.327163978603,15872.327135213516,15872.327115609718
2020-12-01,EMEA,NITRO,7436.0,52.37704918032786,15710.19887272429,15710.198230058635,15710.19779197124,15710.197493339187,15710.197289769982,15710.197151002485,15710.197056408524,15710.196991926437,15710.196947970784,15710.19691800743,15710.196897582242,15710.196883658955
2021-01-01,EMEA,NITRO,4496.0,-39.53738569123184,15223.517840480825,15223.517351992274,15223.517019432187,15223.516793027266,15223.516638892148,15223.516533957882,15223.51646251926,15223.516413884272,15223.516380773863,15223.516358232495,15223.516342886465,15223.516332438981
2021-02-01,EMEA,NITRO,3040.0,-32.38434163701067,14749.819156743175,14749.818793875624,14749.818547161805,14749.818379420965,14749.818265373888,14749.818187833229,14749.818135113295,14749.818099268989,14749.818074898427,14749.81805832887,14749.818047063221,14749.8180394037
2021-03-01,EMEA,NITRO,5858.0,92.69736842105263,14503.318861234966,14503.318603930578,14503.318429036157,14503.318310157272,14503.318229353155,14503.318174429143,14503.318137096305,14503.318111720502,14503.318094472113,14503.318082748074,14503.318074779032,14503.31806936233
2021-04-01,EMEA,NITRO,9056.0,54.59201092523045,14228.55127566366,14228.5510926325,14228.550968278912,14228.55088379158,14228.550826389863,14228.550787390439,14228.550760893759,14228.550742891592,14228.5507306607,14228.550722350887,14228.550716705096,14228.55071286928
