,h.1,h.2,h.3,ngtv_h.1,ngtv_h.2,ngtv_h.3
2014-09-30,0.5508758274392245,0.5598994302093747,0.5688314537313074,-0.5508758274392245,-0.5598994302093747,-0.5688314537313074
2014-10-01,0.6725676633465446,0.6803140914632629,0.6879820552783323,-0.6725676633465446,-0.6803140914632629,-0.6879820552783323
2014-10-02,0.6232265115010928,0.6314346283416961,0.6395597592171445,-0.6232265115010928,-0.6314346283416961,-0.6395597592171445
2014-10-03,0.6759585759195441,0.6837306227750867,0.6914236991592324,-0.6759585759195441,-0.6837306227750867,-0.6914236991592324
2014-10-06,0.6296347926614776,0.6378306007022283,0.6459432607629844,-0.6296347926614776,-0.6378306007022283,-0.6459432607629844
2014-10-07,0.7916720517103892,0.7982587305941626,0.8047784871305977,-0.7916720517103892,-0.7982587305941626,-0.8047784871305977
2014-10-08,0.972936439913711,0.9776446390955787,0.9823050556206827,-0.972936439913711,-0.9776446390955787,-0.9823050556206827
2014-10-09,1.2770017940646379,1.2787143647441819,1.2804095053554163,-1.2770017940646379,-1.2787143647441819,-1.2804095053554163
2014-10-10,1.2966234584863312,1.2982449156487146,1.2998498387917958,-1.2966234584863312,-1.2982449156487146,-1.2998498387917958
2014-10-13,1.4407089037284548,1.441031898678113,1.4413515998058433,-1.4407089037284548,-1.441031898678113,-1.4413515998058433
2014-10-14,1.3182861140077102,1.3198631703109107,1.3214241467526808,-1.3182861140077102,-1.3198631703109107,-1.3214241467526808
2014-10-15,1.271956776865991,1.2740709505471464,1.2761635884022464,-1.271956776865991,-1.2740709505471464,-1.2761635884022464
2014-10-16,1.1633279114823014,1.1664946007185157,1.1696290028065062,-1.1633279114823014,-1.1664946007185157,-1.1696290028065062
2014-10-17,1.1976535690147752,1.2004476152100851,1.2032131608080612,-1.1976535690147752,-1.2004476152100851,-1.2032131608080612
2014-10-20,1.1608268879734291,1.163948759764712,1.1670387404852536,-1.1608268879734291,-1.163948759764712,-1.1670387404852536
