,h.1,h.2,h.3,ngtv_h.1,ngtv_h.2,ngtv_h.3,sqrt_h.1,sqrt_h.2,sqrt_h.3,sqrt_ngtv_h.1,sqrt_ngtv_h.2,sqrt_ngtv_h.3
1999-03-29,1.4612569320721498,1.456499746255863,1.4517751511358659,-1.4612569320721498,-1.456499746255863,-1.4517751511358659,1.2088246076549525,1.2068553128920894,1.2048963238120804,-1.2088246076549525,-1.2068553128920894,-1.2048963238120804
1999-03-30,1.392802952110468,1.3867729182677075,1.3807689910677128,-1.392802952110468,-1.3867729182677075,-1.3807689910677128,1.1801707300685218,1.1776132294890829,1.1750612711972566,-1.1801707300685218,-1.1776132294890829,-1.1750612711972566
1999-03-31,1.558927492544183,1.557145299181739,1.5554054069900527,-1.558927492544183,-1.557145299181739,-1.5554054069900527,1.2485701792627368,1.247856281461026,1.2471589341339189,-1.2485701792627368,-1.247856281461026,-1.2471589341339189
1999-04-01,1.5061135322289185,1.503204396693896,1.5003389976211525,-1.5061135322289185,-1.503204396693896,-1.5003389976211525,1.2272381725765047,1.2260523629494362,1.2248832587725054,-1.2272381725765047,-1.2260523629494362,-1.2248832587725054
1999-04-05,1.4990582503712215,1.496118093359474,1.4932214365289906,-1.4990582503712215,-1.496118093359474,-1.4932214365289906,1.2243603433512626,1.2231590629838272,1.2219744009303102,-1.2243603433512626,-1.2231590629838272,-1.2219744009303102
1999-04-06,1.407985778368323,1.4025257335715855,1.3970868624111796,-1.407985778368323,-1.4025257335715855,-1.3970868624111796,1.1865857652813483,1.1842827929053032,1.1819842902556614,-1.1865857652813483,-1.1842827929053032,-1.1819842902556614
1999-04-07,1.5647266410848355,1.5633992652024675,1.5621077568468127,-1.5647266410848355,-1.5633992652024675,-1.5621077568468127,1.2508903393522692,1.2503596543404891,1.2498430928907887,-1.2508903393522692,-1.2503596543404891,-1.2498430928907887
1999-04-08,1.4795620794984112,1.4763426844737533,1.4731615375625624,-1.4795620794984112,-1.4763426844737533,-1.4731615375625624,1.2163725085262374,1.2150484288594234,1.213738661146856,-1.2163725085262374,-1.2150484288594234,-1.213738661146856
1999-04-09,1.3981722897391653,1.392876461014827,1.3876006913267616,-1.3981722897391653,-1.392876461014827,-1.3876006913267616,1.1824433558268934,1.1802018729924246,1.1779646392514342,-1.1824433558268934,-1.1802018729924246,-1.1779646392514342
1999-04-12,1.3862313705848226,1.3808866283647496,1.375562494087336,-1.3862313705848226,-1.3808866283647496,-1.375562494087336,1.1773832725942825,1.175111325945227,1.1728437637159248,-1.1773832725942825,-1.175111325945227,-1.1728437637159248
1999-04-13,1.3175848339124088,1.3116312155859722,1.305704499259179,-1.3175848339124088,-1.3116312155859722,-1.305704499259179,1.1478609819627152,1.145264692368525,1.1426742752242125,-1.1478609819627152,-1.145264692368525,-1.1426742752242125
1999-04-14,1.2658302345907184,1.2594795264017635,1.2531606799855504,-1.2658302345907184,-1.2594795264017635,-1.2531606799855504,1.125091211676066,1.1222653547186439,1.1194465954146944,-1.125091211676066,-1.1222653547186439,-1.1194465954146944
1999-04-15,1.233546742844915,1.2270156855991847,1.220519207352363,-1.233546742844915,-1.2270156855991847,-1.220519207352363,1.1106514947745376,1.107707400715182,1.1047711108425866,-1.1106514947745376,-1.107707400715182,-1.1047711108425866
